0:note,1:octave,2:duration (s),3:principal value,4:absolute value,5:canonical duration (s),6:canonical time value label,7:weight
E,5,1.7385448083333335,4,64,1.9999999999999998,2,1.0
D,5,0.43320490833333336,2,62,0.4983534577387486,8,1.0
C,5,0.43320490833333336,0,60,0.4983534577387486,8,1.0
B,4,0.07251888333333323,11,59,0.08342480790340273,13,1.0
C,5,0.07251888333333323,0,60,0.08342480790340273,13,1.0
D,5,0.07251888333333323,2,62,0.08342480790340273,13,1.0
C,5,0.21564825833333323,0,60,0.2480790340285399,11,1.0
B,4,0.43320490833333336,11,59,0.4983534577387486,8,1.0
C,5,0.4332049083333329,0,60,0.49835345773874806,8,1.0
C,5,0.28816714166666646,0,60,0.3315038419319426,10,1.0
B,4,0.28816714166666646,11,59,0.3315038419319426,10,1.0
A,4,0.28816714166666646,9,57,0.3315038419319426,10,1.0
G#,4,1.7385448083333337,8,56,2.0000000000000004,2,1.0
A,4,0.8683182083333332,9,57,0.9989023051591653,5,1.0
B,4,0.4332049083333338,11,59,0.4983534577387491,8,1.0
C,5,0.4332049083333338,0,60,0.4983534577387491,8,1.0
D,5,0.8683182083333332,2,62,0.9989023051591653,5,1.0
E,5,0.4332049083333338,4,64,0.4983534577387491,8,1.0
F,5,0.4332049083333338,5,65,0.4983534577387491,8,1.0
B,4,2.3912147583333336,11,59,2.750823271130626,1,1.0
A,5,0.21564825833333323,9,69,0.2480790340285399,11,1.0
A,5,0.28816714166666557,9,69,0.3315038419319416,10,1.0
G,5,0.28816714166666557,7,67,0.3315038419319416,10,1.0
F,5,0.28816714166666735,5,65,0.33150384193194365,10,1.0
E,5,0.43320490833333203,4,64,0.49835345773874706,8,1.0
E,4,0.4561056083333348,4,52,0.5246981339187722,8,1.0
E,5,0.2881671416666691,4,64,0.3315038419319457,10,1.0
D,5,0.28816714166666557,2,62,0.3315038419319416,10,1.0
C,5,0.28816714166666557,0,60,0.3315038419319416,10,1.0
C,5,0.4332049083333338,0,60,0.4983534577387491,8,1.0
B,4,0.43320490833333025,11,59,0.49835345773874506,8,1.0
C,4,0.07251888333333412,0,48,0.08342480790340374,13,1.0
E,4,0.07251888333333412,4,52,0.08342480790340374,13,1.0
A,4,0.07251888333333412,9,57,0.08342480790340374,13,1.0
C,5,0.215648258333335,0,60,0.24807903402854195,11,1.0
C,5,0.215648258333335,0,60,0.24807903402854195,11,1.0
C,5,0.0744272749999979,0,60,0.08562019758506893,13,1.0
D,5,0.07442727500000146,2,62,0.08562019758507301,13,1.0
C,5,0.1431293750000009,0,60,0.16465422612513822,12,1.0
B,4,0.28816714166666557,11,59,0.3315038419319416,10,1.0
A,4,0.28816714166666557,9,57,0.3315038419319416,10,1.0
G#,4,0.868318208333335,8,56,0.9989023051591676,5,1.0
A,4,0.868318208333335,9,57,0.9989023051591676,5,1.0
B,4,0.6507615583333326,11,59,0.7486278814489562,6,1.0
C,5,0.215648258333335,0,60,0.24807903402854195,11,1.0
D,5,0.8683182083333314,2,62,0.9989023051591633,5,1.0
E,5,0.868318208333335,4,64,0.9989023051591676,5,1.0
A,4,1.3034315083333325,9,57,1.4994511525795817,3,1.0
A,4,0.4332049083333338,9,57,0.4983534577387491,8,1.0
A,4,0.11068671666666674,9,57,0.12733260153677284,13,1.0
B,4,0.11068671666666674,11,59,0.12733260153677284,13,1.0
B,4,0.868318208333335,11,59,0.9989023051591676,5,1.0
A,4,0.45610560833333125,9,57,0.5246981339187681,8,1.0
B,4,0.4561056083333348,11,59,0.5246981339187722,8,1.0
C,5,0.868318208333335,0,60,0.9989023051591676,5,1.0
C#,5,0.8683182083333314,1,61,0.9989023051591633,5,1.0
D,5,0.868318208333335,2,62,0.9989023051591676,5,1.0
